source	subject_category	subject_prefix	predicate	object_category	object_prefix	count
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000011	biolink:ChemicalEntity	CHEBI	59831
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000006	biolink:ChemicalEntity	CHEBI	57006
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000039	biolink:ChemicalEntity	CHEBI	51581
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000027	(unknown)	CHEBI	50011
mediadive	biolink:OrganismTaxon	NCBITaxon	METPO:2000517	METPO:1004005	mediadive.medium	45353
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000303	(unknown)	EC	39368
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000012	biolink:ChemicalEntity	CHEBI	39097
mediadive	biolink:ChemicalEntity	mediadive.solution	biolink:has_part	biolink:ChemicalEntity	CHEBI	38650
madin_etal	biolink:OrganismTaxon	NCBITaxon	METPO:2000006	biolink:ChemicalEntity	CHEBI	36816
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000517	METPO:1004005	mediadive.medium	36596
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000012	(unknown)	CHEBI	29907
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000222	biolink:ChemicalEntity	CHEBI	27197
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000011	(unknown)	CHEBI	26866
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000013	biolink:ChemicalEntity	CHEBI	23097
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000044	biolink:ChemicalEntity	CHEBI	19074
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000031	biolink:ChemicalEntity	CHEBI	18229
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000002	(unknown)	CHEBI	17799
mediadive	biolink:ChemicalEntity	mediadive.solution	biolink:has_part	biolink:ChemicalEntity	mediadive.solution	16652
mediadive	biolink:ChemicalEntity	mediadive.solution	biolink:has_part	biolink:ChemicalEntity	mediadive.ingredient	16208
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000302	(unknown)	EC	15308
madin_etal	(unknown)	ENVO	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	14888
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	biolink:subclass_of	(unknown)	NCBITaxon	14120
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000033	biolink:ChemicalEntity	CHEBI	13219
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	biolink:associated_with_sensitivity_to	biolink:ChemicalEntity	CHEBI	12559
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000036	biolink:ChemicalEntity	CHEBI	11978
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000017	biolink:ChemicalEntity	CHEBI	10964
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	biolink:associated_with_resistance_to	biolink:ChemicalEntity	CHEBI	10351
mediadive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000517	METPO:1004005	mediadive.medium	9651
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000202	biolink:ChemicalEntity	CHEBI	8616
mediadive	METPO:1004005	mediadive.medium	biolink:has_part	biolink:ChemicalEntity	mediadive.solution	8600
madin_etal	(empty)	bacdive.isolation_source	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	6775
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000046	biolink:ChemicalEntity	CHEBI	6186
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000019	biolink:ChemicalEntity	CHEBI	5024
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000007	biolink:ChemicalEntity	CHEBI	4938
madin_etal	biolink:OrganismTaxon	NCBITaxon	METPO:2000103	biolink:BiologicalProcess	pathways	4463
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000010	biolink:ChemicalEntity	CHEBI	3932
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000016	biolink:ChemicalEntity	CHEBI	3351
mediadive	METPO:1004005	mediadive.medium	biolink:subclass_of	biolink:ChemicalMixture	mediadive.medium-type	3316
mediadive	biolink:ChemicalEntity	mediadive.solution	biolink:has_part	(unknown)	FOODON	2945
madin_etal	biolink:EnvironmentalFeature	UBERON	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	2802
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000042	biolink:ChemicalEntity	CHEBI	2120
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000014	biolink:ChemicalEntity	CHEBI	1892
madin_etal	biolink:OrganismTaxon	NCBITaxon	METPO:2000103	(empty)	METPO	1770
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000030	biolink:ChemicalEntity	CHEBI	1760
mediadive	biolink:ChemicalEntity	mediadive.solution	biolink:has_part	biolink:ChemicalEntity	PubChem	1724
madin_etal	biolink:OrganismTaxon	NCBITaxon	METPO:2000103	biolink:BiologicalProcess	GO	1262
bacdive	biolink:OrganismTaxon	kgmicrobe.strain	METPO:2000040	biolink:ChemicalEntity	CHEBI	994
madin_etal	biolink:EnvironmentalFeature	CHEBI	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	910
mediadive	biolink:ChemicalEntity	CHEBI	biolink:has_chemical_role	biolink:ChemicalRole	CHEBI	648
madin_etal	biolink:EnvironmentalFeature	NCBITaxon	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	624
madin_etal	(unknown)	PATO	biolink:location_of	biolink:OrganismTaxon	NCBITaxon	569
